#ip-address apv-chip-id apv-pad-id module-id pin-id pad-id
192.168.35.71 12 72 107 72 1007
192.168.35.71 13 72 107 72 1002
192.168.35.71 14 72 107 72 1017
192.168.35.71 15 72 107 72 1012
192.168.35.71 16 72 107 72 725
192.168.35.71 17 72 107 72 684
192.168.35.71 18 72 107 72 735
192.168.35.71 19 72 107 72 694
192.168.35.71 20 72 107 72 407
192.168.35.71 21 72 107 72 402
192.168.35.71 22 72 107 72 417
192.168.35.71 23 72 107 72 412
192.168.35.72 0 72 108 72 1007
192.168.35.72 1 72 108 72 1002
192.168.35.72 2 72 108 72 1017
192.168.35.72 3 72 108 72 1012
192.168.35.72 4 72 108 72 725
192.168.35.72 5 72 108 72 684
192.168.35.72 6 72 108 72 735
192.168.35.72 7 72 108 72 694
192.168.35.72 8 72 108 72 407
192.168.35.72 9 72 108 72 402
192.168.35.72 10 72 108 72 417
192.168.35.72 11 72 108 72 412
192.168.35.72 20 72 109 72 1007
192.168.35.72 21 72 109 72 1002
192.168.35.72 14 72 109 72 1017
192.168.35.72 15 72 109 72 1012
192.168.35.72 16 72 109 72 725
192.168.35.72 17 72 109 72 684
192.168.35.72 18 72 109 72 735
192.168.35.72 19 72 109 72 694
192.168.35.72 12 72 109 72 407
192.168.35.72 13 72 109 72 402
192.168.35.72 22 72 109 72 417
192.168.35.72 23 72 109 72 412
192.168.35.18 12 104 101 104 305
192.168.35.18 13 104 101 104 300
192.168.35.18 14 104 101 104 315
192.168.35.18 15 104 101 104 310
192.168.35.18 16 104 101 104 601
192.168.35.18 17 104 101 104 808
192.168.35.18 18 104 101 104 611
192.168.35.18 19 104 101 104 818
192.168.35.18 20 104 101 104 1069
192.168.35.18 21 104 101 104 1064
192.168.35.18 22 104 101 104 1079
192.168.35.18 23 104 101 104 1074
192.168.35.18 0 104 102 104 305
192.168.35.18 1 104 102 104 300
192.168.35.18 2 104 102 104 315
192.168.35.18 3 104 102 104 310
192.168.35.18 4 104 102 104 601
192.168.35.18 5 104 102 104 808
192.168.35.18 6 104 102 104 611
192.168.35.18 7 104 102 104 818
192.168.35.18 8 104 102 104 1069
192.168.35.18 9 104 102 104 1064
192.168.35.18 10 104 102 104 1079
192.168.35.18 11 104 102 104 1074
192.168.35.17 12 104 103 104 1074
192.168.35.17 13 104 103 104 1079
192.168.35.17 14 104 103 104 1064
192.168.35.17 15 104 103 104 1069
192.168.35.17 16 104 103 104 818
192.168.35.17 17 104 103 104 611
192.168.35.17 18 104 103 104 808
192.168.35.17 19 104 103 104 601
192.168.35.17 20 104 103 104 310
192.168.35.17 21 104 103 104 315
192.168.35.17 22 104 103 104 300
192.168.35.17 23 104 103 104 305
192.168.35.17 0 104 104 104 305
192.168.35.17 1 104 104 104 300
192.168.35.17 2 104 104 104 315
192.168.35.17 3 104 104 104 310
192.168.35.17 4 104 104 104 601
192.168.35.17 5 104 104 104 808
192.168.35.17 6 104 104 104 611
192.168.35.17 7 104 104 104 818
192.168.35.17 8 104 104 104 1069
192.168.35.17 9 104 104 104 1064
192.168.35.17 10 104 104 104 1079
192.168.35.17 11 104 104 104 1074
192.168.35.71 0 104 106 104 1069
192.168.35.71 1 104 106 104 1064
192.168.35.71 2 104 106 104 1079
192.168.35.71 3 104 106 104 1074
192.168.35.71 4 104 106 104 808
192.168.35.71 5 104 106 104 601
192.168.35.71 6 104 106 104 818
192.168.35.71 7 104 106 104 611
192.168.35.71 8 104 106 104 305
192.168.35.71 9 104 106 104 300
192.168.35.71 10 104 106 104 315
192.168.35.71 11 104 106 104 310
192.168.35.71 12 104 107 104 1069
192.168.35.71 13 104 107 104 1064
192.168.35.71 14 104 107 104 1079
192.168.35.71 15 104 107 104 1074
192.168.35.71 16 104 107 104 808
192.168.35.71 17 104 107 104 601
192.168.35.71 18 104 107 104 818
192.168.35.71 19 104 107 104 611
192.168.35.71 20 104 107 104 305
192.168.35.71 21 104 107 104 300
192.168.35.71 22 104 107 104 315
192.168.35.71 23 104 107 104 310
192.168.35.72 0 104 108 104 1069
192.168.35.72 1 104 108 104 1064
192.168.35.72 2 104 108 104 1079
192.168.35.72 3 104 108 104 1074
192.168.35.72 4 104 108 104 808
192.168.35.72 5 104 108 104 601
192.168.35.72 6 104 108 104 818
