# A : Adujst (misalign paramter)
# D : Design values
# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
A:E16:GTR:Frame08:Layer02:Chamber26            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame09:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer00:Chamber27            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer00:Chamber28            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer00:Chamber29            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer01:Chamber27            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer01:Chamber28            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer01:Chamber29            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer02:Chamber27            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer02:Chamber28            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame09:Layer02:Chamber29            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame10:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer00:Chamber30            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer00:Chamber31            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer00:Chamber32            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer01:Chamber30            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer01:Chamber31            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer01:Chamber32            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer02:Chamber30            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer02:Chamber31            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame10:Layer02:Chamber32            0            0            0            0            0            0            0            0            0
A:E16:HBD                                      0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame00                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame00:Chamber00                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame00:Chamber01                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame00:Chamber02                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame01                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame01:Chamber03                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame01:Chamber04                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame01:Chamber05                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame02                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame02:Chamber06                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame02:Chamber07                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame02:Chamber08                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame03                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame03:Chamber09                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame03:Chamber10                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame03:Chamber11                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame04                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame04:Chamber12                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame04:Chamber13                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame04:Chamber14                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame05                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame05:Chamber15                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame05:Chamber16                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame05:Chamber17                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame06                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame06:Chamber18                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame06:Chamber19                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame06:Chamber20                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame07                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame07:Chamber21                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame07:Chamber22                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame07:Chamber23                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame08                              0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame08:Chamber24                    0            0            0            0            0            0            0            0            0
A:E16:HBD:Frame08:Chamber25                    0            0            0            0            0            0            0            0            0
