#ip-address apv-chip-id apv-multiplexer-out module-id pin-id pad-id
192.168.35.17 21 6 -1 72 -1
192.168.35.17 22 6 -1 72 -1
192.168.35.17 23 6 -1 72 -1
192.168.35.18 0 6 103 72 735
192.168.35.18 1 6 103 72 694
192.168.35.18 2 6 103 72 725
192.168.35.18 3 6 103 72 684
192.168.35.18 4 6 103 72 412
192.168.35.18 5 6 103 72 417
192.168.35.18 6 6 103 72 402
192.168.35.18 7 6 103 72 407
192.168.35.18 8 6 106 72 1007
192.168.35.18 9 6 106 72 1002
192.168.35.18 10 6 106 72 1017
192.168.35.18 11 6 106 72 1012
192.168.35.18 12 6 106 72 725
192.168.35.18 13 6 106 72 684
192.168.35.18 14 6 106 72 735
192.168.35.18 15 6 106 72 694
192.168.35.18 16 6 -1 72 -1
192.168.35.18 17 6 -1 72 -1
192.168.35.18 18 6 -1 72 -1
192.168.35.18 19 6 -1 72 -1
192.168.35.18 20 6 -1 72 -1
192.168.35.18 21 6 -1 72 -1
192.168.35.18 22 6 -1 72 -1
192.168.35.18 23 6 -1 72 -1
192.168.35.19 0 6 106 72 407
192.168.35.19 1 6 106 72 402
192.168.35.19 2 6 106 72 417
192.168.35.19 3 6 106 72 412
192.168.35.19 4 6 107 72 1007
192.168.35.19 5 6 107 72 1002
192.168.35.19 6 6 107 72 1017
192.168.35.19 7 6 107 72 1012
192.168.35.19 8 6 107 72 725
192.168.35.19 9 6 107 72 684
192.168.35.19 10 6 107 72 735
192.168.35.19 11 6 107 72 694
192.168.35.19 12 6 107 72 407
192.168.35.19 13 6 107 72 402
192.168.35.19 14 6 107 72 417
192.168.35.19 15 6 107 72 412
192.168.35.19 16 6 -1 72 -1
192.168.35.19 17 6 -1 72 -1
192.168.35.19 18 6 -1 72 -1
192.168.35.19 19 6 -1 72 -1
192.168.35.19 20 6 -1 72 -1
192.168.35.19 21 6 -1 72 -1
192.168.35.19 22 6 -1 72 -1
192.168.35.19 23 6 -1 72 -1
192.168.35.17 0 7 104 104 305
192.168.35.17 1 7 104 104 300
192.168.35.17 2 7 104 104 315
192.168.35.17 3 7 104 104 310
192.168.35.17 4 7 104 104 601
192.168.35.17 5 7 104 104 808
192.168.35.17 6 7 104 104 611
192.168.35.17 7 7 104 104 818
192.168.35.17 8 7 104 104 1069
192.168.35.17 9 7 104 104 1064
192.168.35.17 10 7 104 104 1079
192.168.35.17 11 7 104 104 1074
192.168.35.17 12 7 103 104 1074
192.168.35.17 13 7 103 104 1079
192.168.35.17 14 7 103 104 1064
192.168.35.17 15 7 103 104 1069
192.168.35.17 16 7 -1 104 -1
192.168.35.17 17 7 -1 104 -1
192.168.35.17 18 7 -1 104 -1
192.168.35.17 19 7 -1 104 -1
192.168.35.17 20 7 -1 104 -1
192.168.35.17 21 7 -1 104 -1
192.168.35.17 22 7 -1 104 -1
192.168.35.17 23 7 -1 104 -1
192.168.35.18 0 7 103 104 818
192.168.35.18 1 7 103 104 611
192.168.35.18 2 7 103 104 808
192.168.35.18 3 7 103 104 601
192.168.35.18 4 7 103 104 310
192.168.35.18 5 7 103 104 315
192.168.35.18 6 7 103 104 300
192.168.35.18 7 7 103 104 305
192.168.35.18 8 7 106 104 1069
192.168.35.18 9 7 106 104 1064
192.168.35.18 10 7 106 104 1079
192.168.35.18 11 7 106 104 1074
192.168.35.18 12 7 106 104 808
192.168.35.18 13 7 106 104 601
192.168.35.18 14 7 106 104 818
192.168.35.18 15 7 106 104 611
192.168.35.18 16 7 -1 104 -1
192.168.35.18 17 7 -1 104 -1
192.168.35.18 18 7 -1 104 -1
192.168.35.18 19 7 -1 104 -1
192.168.35.18 20 7 -1 104 -1
192.168.35.18 21 7 -1 104 -1
192.168.35.18 22 7 -1 104 -1
192.168.35.18 23 7 -1 104 -1
192.168.35.19 0 7 106 104 305
192.168.35.19 1 7 106 104 300
192.168.35.19 2 7 106 104 315
192.168.35.19 3 7 106 104 310
192.168.35.19 4 7 107 104 1069
192.168.35.19 5 7 107 104 1064
192.168.35.19 6 7 107 104 1079
192.168.35.19 7 7 107 104 1074
192.168.35.19 8 7 107 104 808
192.168.35.19 9 7 107 104 601
192.168.35.19 10 7 107 104 818
192.168.35.19 11 7 107 104 611
192.168.35.19 12 7 107 104 305
192.168.35.19 13 7 107 104 300
192.168.35.19 14 7 107 104 315
192.168.35.19 15 7 107 104 310
192.168.35.19 16 7 -1 104 -1
192.168.35.19 17 7 -1 104 -1
192.168.35.19 18 7 -1 104 -1
192.168.35.19 19 7 -1 104 -1
192.168.35.19 20 7 -1 104 -1
192.168.35.19 21 7 -1 104 -1
192.168.35.19 22 7 -1 104 -1
192.168.35.19 23 7 -1 104 -1
192.168.35.17 0 8 104 16 249
192.168.35.17 1 8 104 16 244
192.168.35.17 2 8 104 16 259
192.168.35.17 3 8 104 16 254
192.168.35.17 4 8 104 16 628
192.168.35.17 5 8 104 16 741
192.168.35.17 6 8 104 16 638
192.168.35.17 7 8 104 16 751
192.168.35.17 8 8 104 16 1165
192.168.35.17 9 8 104 16 1160
192.168.35.17 10 8 104 16 1175
192.168.35.17 11 8 104 16 1170
192.168.35.17 12 8 103 16 1170
192.168.35.17 13 8 103 16 1175
192.168.35.17 14 8 103 16 1160
192.168.35.17 15 8 103 16 1165
192.168.35.17 16 8 -1 16 -1
192.168.35.17 17 8 -1 16 -1
192.168.35.17 18 8 -1 16 -1
192.168.35.17 19 8 -1 16 -1
192.168.35.17 20 8 -1 16 -1
192.168.35.17 21 8 -1 16 -1
192.168.35.17 22 8 -1 16 -1
192.168.35.17 23 8 -1 16 -1
192.168.35.18 0 8 103 16 751
192.168.35.18 1 8 103 16 638
192.168.35.18 2 8 103 16 741
192.168.35.18 3 8 103 16 628
192.168.35.18 4 8 103 16 254
192.168.35.18 5 8 103 16 259
192.168.35.18 6 8 103 16 244
192.168.35.18 7 8 103 16 249
192.168.35.18 8 8 106 16 1165
192.168.35.18 9 8 106 16 1160
192.168.35.18 10 8 106 16 1175
192.168.35.18 11 8 106 16 1170
192.168.35.18 12 8 106 16 741
192.168.35.18 13 8 106 16 628
192.168.35.18 14 8 106 16 751
192.168.35.18 15 8 106 16 638
192.168.35.18 16 8 -1 16 -1
192.168.35.18 17 8 -1 16 -1
192.168.35.18 18 8 -1 16 -1
192.168.35.18 19 8 -1 16 -1
192.168.35.18 20 8 -1 16 -1
192.168.35.18 21 8 -1 16 -1
192.168.35.18 22 8 -1 16 -1
192.168.35.18 23 8 -1 16 -1
192.168.35.19 0 8 106 16 249
192.168.35.19 1 8 106 16 244
192.168.35.19 2 8 106 16 259
192.168.35.19 3 8 106 16 254
192.168.35.19 4 8 107 16 1165
192.168.35.19 5 8 107 16 1160
192.168.35.19 6 8 107 16 1175
192.168.35.19 7 8 107 16 1170
192.168.35.19 8 8 107 16 741
192.168.35.19 9 8 107 16 628
192.168.35.19 10 8 107 16 751
192.168.35.19 11 8 107 16 638
192.168.35.19 12 8 107 16 249
192.168.35.19 13 8 107 16 244
192.168.35.19 14 8 107 16 259
192.168.35.19 15 8 107 16 254
192.168.35.19 16 8 -1 16 -1
192.168.35.19 17 8 -1 16 -1
192.168.35.19 18 8 -1 16 -1
192.168.35.19 19 8 -1 16 -1
192.168.35.19 20 8 -1 16 -1
192.168.35.19 21 8 -1 16 -1
192.168.35.19 22 8 -1 16 -1
192.168.35.19 23 8 -1 16 -1
192.168.35.17 0 9 104 48 408
192.168.35.17 1 9 104 48 403
192.168.35.17 2 9 104 48 418
192.168.35.17 3 9 104 48 413
192.168.35.17 4 9 104 48 686
192.168.35.17 5 9 104 48 723
192.168.35.17 6 9 104 48 696
192.168.35.17 7 9 104 48 733
192.168.35.17 8 9 104 48 1006
192.168.35.17 9 9 104 48 1001
192.168.35.17 10 9 104 48 1016
192.168.35.17 11 9 104 48 1011
192.168.35.17 12 9 103 48 1011
192.168.35.17 13 9 103 48 1016
192.168.35.17 14 9 103 48 1001
192.168.35.17 15 9 103 48 1006
192.168.35.17 16 9 -1 48 -1
192.168.35.17 17 9 -1 48 -1
192.168.35.17 18 9 -1 48 -1
192.168.35.17 19 9 -1 48 -1
192.168.35.17 20 9 -1 48 -1
192.168.35.17 21 9 -1 48 -1
192.168.35.17 22 9 -1 48 -1
192.168.35.17 23 9 -1 48 -1
192.168.35.18 0 9 103 48 733
192.168.35.18 1 9 103 48 696
192.168.35.18 2 9 103 48 723
192.168.35.18 3 9 103 48 686
192.168.35.18 4 9 103 48 413
192.168.35.18 5 9 103 48 418
192.168.35.18 6 9 103 48 403
192.168.35.18 7 9 103 48 408
192.168.35.18 8 9 106 48 1006
192.168.35.18 9 9 106 48 1001
192.168.35.18 10 9 106 48 1016
192.168.35.18 11 9 106 48 1011
192.168.35.18 12 9 106 48 723
192.168.35.18 13 9 106 48 686
192.168.35.18 14 9 106 48 733
192.168.35.18 15 9 106 48 696
192.168.35.18 16 9 -1 48 -1
192.168.35.18 17 9 -1 48 -1
192.168.35.18 18 9 -1 48 -1
192.168.35.18 19 9 -1 48 -1
192.168.35.18 20 9 -1 48 -1
192.168.35.18 21 9 -1 48 -1
192.168.35.18 22 9 -1 48 -1
192.168.35.18 23 9 -1 48 -1
192.168.35.19 0 9 106 48 408
192.168.35.19 1 9 106 48 403
192.168.35.19 2 9 106 48 418
192.168.35.19 3 9 106 48 413
192.168.35.19 4 9 107 48 1006
192.168.35.19 5 9 107 48 1001
192.168.35.19 6 9 107 48 1016
192.168.35.19 7 9 107 48 1011
192.168.35.19 8 9 107 48 723
192.168.35.19 9 9 107 48 686
192.168.35.19 10 9 107 48 733
192.168.35.19 11 9 107 48 696
192.168.35.19 12 9 107 48 408
192.168.35.19 13 9 107 48 403
192.168.35.19 14 9 107 48 418
192.168.35.19 15 9 107 48 413
192.168.35.19 16 9 -1 48 -1
192.168.35.19 17 9 -1 48 -1
192.168.35.19 18 9 -1 48 -1
192.168.35.19 19 9 -1 48 -1
192.168.35.19 20 9 -1 48 -1
192.168.35.19 21 9 -1 48 -1
192.168.35.19 22 9 -1 48 -1
192.168.35.19 23 9 -1 48 -1
192.168.35.17 0 10 104 80 306
192.168.35.17 1 10 104 80 301
192.168.35.17 2 10 104 80 316
192.168.35.17 3 10 104 80 311
192.168.35.17 4 10 104 80 603
192.168.35.17 5 10 104 80 806
192.168.35.17 6 10 104 80 613
192.168.35.17 7 10 104 80 816
192.168.35.17 8 10 104 80 1068
192.168.35.17 9 10 104 80 1063
